COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Eswatini,SWZ,AFRO,REPORTING,23-08-2021,174917,147552,15.077,12.718,136492,11.765,SII - Covishield,19-03-2021,1
Ethiopia,ETH,AFRO,REPORTING,23-08-2021,2343609,2031153,2.039,1.767,312456,0.272,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",13-03-2021,3
Falkland Islands (Malvinas),FLK,AMRO,OWID,14-04-2021,4407,2632,126.529,75.567,1775,50.962,AstraZeneca - AZD1222,,1
Faroe Islands,FRO,EURO,OWID,19-08-2021,69950,36266,143.149,74.217,33684,68.933,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Fiji,FJI,WPRO,REPORTING,14-08-2021,690888,512282,77.07,57.146,178606,19.924,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,SII - Covishield",07-03-2021,3
Finland,FIN,EURO,OWID,21-08-2021,6471135,3932404,117.118,71.171,2538731,45.947,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
France,FRA,EURO,OWID,19-08-2021,82917669,47041160,127.488,72.327,36851088,56.66,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
French Guiana,GUF,AMRO,REPORTING,20-08-2021,118096,68850,39.539,23.051,49246,16.488,,,
French Polynesia,PYF,WPRO,REPORTING,13-08-2021,137967,83207,49.115,29.621,70827,25.214,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",18-01-2021,2
Gabon,GAB,AFRO,REPORTING,23-08-2021,127757,74720,5.74,3.357,53037,2.383,Beijing CNBG - BBIBP-CorV,23-03-2021,1
Gambia,GMB,AFRO,REPORTING,23-08-2021,40810,30421,1.689,1.259,7355,0.304,"Beijing CNBG - BBIBP-CorV,SII - Covishield",10-03-2021,2
Georgia,GEO,EURO,OWID,19-08-2021,907665,640703,22.753,16.061,266962,6.692,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Sinovac - CoronaVac",,4
Germany,DEU,EURO,OWID,20-08-2021,99340944,53173018,119.448,63.935,48860871,58.751,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Ghana,GHA,AFRO,REPORTING,23-08-2021,1271393,865422,4.092,2.785,405971,1.307,"Gamaleya - Sputnik V,SII - Covishield",02-03-2021,2
Gibraltar,GIB,EURO,OWID,17-08-2021,78570,39396,233.208,116.933,39174,116.274,Pfizer BioNTech - Comirnaty,,1
Greece,GRC,EURO,OWID,21-08-2021,11153817,5904497,104.061,55.087,5614071,52.377,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Greenland,GRL,EURO,OWID,20-08-2021,70371,39337,123.954,69.289,31034,54.664,Moderna - mRNA-1273,,1
Grenada,GRD,AMRO,REPORTING,20-08-2021,40075,22307,35.615,19.824,17768,15.791,"AstraZeneca - Vaxzevria,SII - Covishield",15-02-2021,2
Guadeloupe,GLP,AMRO,REPORTING,20-08-2021,157579,96254,39.383,24.056,61166,15.287,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",08-01-2021,5
Guam,GUM,WPRO,REPORTING,09-08-2021,202807,109184,120.164,64.692,99511,58.961,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",04-01-2021,3
Guatemala,GTM,AMRO,REPORTING,20-08-2021,3528413,2859182,19.695,15.959,669231,3.735,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",25-02-2021,4
Guernsey,GGY,EURO,OWID,20-08-2021,98054,,152.097,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Guinea,GIN,AFRO,REPORTING,23-08-2021,1040819,687210,7.925,5.233,353609,2.693,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",05-03-2021,6
Guinea-Bissau,GNB,AFRO,REPORTING,23-08-2021,31090,28097,1.58,1.428,2993,0.152,"Beijing CNBG - BBIBP-CorV,SII - Covishield",02-04-2021,2
Guyana,GUY,AMRO,REPORTING,20-08-2021,448492,296059,57.02,37.64,152433,19.38,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",11-02-2021,5
Haiti,HTI,AMRO,REPORTING,20-08-2021,25238,23811,0.221,0.209,1768,0.016,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",,2
Honduras,HND,AMRO,REPORTING,20-08-2021,3048368,1925371,30.777,19.439,1123360,11.342,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",26-02-2021,6
Hungary,HUN,EURO,OWID,18-08-2021,0,5693214,,58.275,5502086,56.319,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,6
Iceland,ISL,EURO,OWID,06-08-2021,477205,275173,131.052,75.569,255322,70.118,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
India,IND,SEARO,REPORTING,17-08-2021,560652030,435720056,40.627,31.574,124931974,9.053,"Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,SII - Covishield",16-01-2021,5
